,entry1,entry2
1,BS_0003541,BS_0007227
2,BS_0005004,BS_0002747
3,BS_0004142,BS_0005068
4,BS_0004101,BS_0001275
5,BS_0006671,BS_0002194
6,BS_0000035,BS_0000501
7,BS_0002474,BS_0002790
9,BS_0008463,BS_0000479
10,BS_0008166,BS_0001716
13,BS_0001615,BS_0003361
14,BS_0008793,BS_0000726
15,BS_0005217,BS_0003535
16,BS_0003627,BS_0002452
18,BS_0002410,BS_0006745
20,BS_0004473,BS_0004709
21,BS_0000175,BS_0009113
22,BS_0007920,BS_0007010
23,BS_0003515,BS_0006521
25,BS_0004477,BS_0008252
26,BS_0004394,BS_0008484
27,BS_0001736,BS_0005104
31,BS_0002696,BS_0000411
34,BS_0005394,BS_0003264
36,BS_0000632,BS_0002844
38,BS_0000587,BS_0005325
40,BS_0000442,BS_0008166
41,BS_0000547,BS_0001728
44,BS_0009080,BS_0002257
45,BS_0005676,BS_0005104
46,BS_0005452,BS_0009190
47,BS_0001117,BS_0002474
48,BS_0006857,BS_0004393
49,BS_0006424,BS_0002876
51,BS_0000598,BS_0004506
52,BS_0006671,BS_0000775
53,BS_0002798,BS_0007933
54,BS_0007648,BS_0008313
55,BS_0002041,BS_0005062
58,BS_0004750,BS_0005719
59,BS_0005249,BS_0004662
60,BS_0009029,BS_0008233
62,BS_0007716,BS_0003970
63,BS_0001088,BS_0008243
65,BS_0001119,BS_0001625
67,BS_0004176,BS_0006199
71,BS_0006857,BS_0009497
72,BS_0006872,BS_0008674
73,BS_0006662,BS_0003451
74,BS_0002563,BS_0006167
75,BS_0006521,BS_0005838
76,BS_0009409,BS_0004422
77,BS_0003589,BS_0008576
78,BS_0009137,BS_0002844
79,BS_0003673,BS_0006855
81,BS_0001648,BS_0005718
82,BS_0006698,BS_0000073
83,BS_0006363,BS_0007824
87,BS_0005971,BS_0005604
89,BS_0005409,BS_0000648
91,BS_0003602,BS_0007152
92,BS_0008931,BS_0000332
93,BS_0007042,BS_0000048
94,BS_0001116,BS_0009125
96,BS_0003359,BS_0005251
97,BS_0001533,BS_0003302
99,BS_0001919,BS_0005004
100,BS_0007050,BS_0000753
101,BS_0001886,BS_0006245
104,BS_0002504,BS_0003173
105,BS_0007719,BS_0001166
106,BS_0004453,BS_0005676
107,BS_0009219,BS_0004381
109,BS_0008238,BS_0007881
111,BS_0000442,BS_0004151
112,BS_0002504,BS_0003169
113,BS_0006679,BS_0005410
115,BS_0001807,BS_0006642
116,BS_0005059,BS_0006132
117,BS_0001737,BS_0007193
118,BS_0005322,BS_0008049
119,BS_0009287,BS_0005868
120,BS_0005547,BS_0004025
121,BS_0004394,BS_0005850
127,BS_0004348,BS_0002942
128,BS_0006481,BS_0006943
129,BS_0007966,BS_0004806
131,BS_0003699,BS_0000779
133,BS_0002252,BS_0007631
134,BS_0005987,BS_0001005
137,BS_0000458,BS_0006723
138,BS_0008536,BS_0001535
139,BS_0004748,BS_0004695
140,BS_0000027,BS_0001871
144,BS_0008223,BS_0005545
145,BS_0002504,BS_0005059
147,BS_0009487,BS_0001089
148,BS_0007018,BS_0002431
150,BS_0005757,BS_0002474
152,BS_0008740,BS_0002609
153,BS_0005971,BS_0004702
154,BS_0003760,BS_0007611
155,BS_0003791,BS_0009290
157,BS_0008984,BS_0002472
158,BS_0003995,BS_0005092
159,BS_0001254,BS_0002013
160,BS_0005622,BS_0008413
161,BS_0007812,BS_0001082
162,BS_0003879,BS_0003446
163,BS_0008493,BS_0006738
164,BS_0003741,BS_0001528
165,BS_0006857,BS_0000433
167,BS_0005016,BS_0001795
169,BS_0001737,BS_0001114
171,BS_0003162,BS_0001117
174,BS_0003017,BS_0008530
175,BS_0002850,BS_0004348
180,BS_0007228,BS_0001736
181,BS_0002850,BS_0001525
182,BS_0004244,BS_0002357
183,BS_0004934,BS_0007157
184,BS_0004475,BS_0002846
187,BS_0006687,BS_0001716
188,BS_0002170,BS_0003159
189,BS_0004679,BS_0008250
190,BS_0000066,BS_0000623
191,BS_0002460,BS_0009412
192,BS_0007991,BS_0008285
193,BS_0003367,BS_0005830
195,BS_0009600,BS_0001408
196,BS_0000703,BS_0008217
198,BS_0002532,BS_0005132
199,BS_0001410,BS_0000808
200,BS_0008608,BS_0008650
201,BS_0002193,BS_0005621
202,BS_0003681,BS_0000694
