,entry1,entry2
0,BS_0001355,BS_0003040
2,BS_0005004,BS_0002747
4,BS_0004101,BS_0001275
5,BS_0006671,BS_0002194
6,BS_0000035,BS_0000501
7,BS_0002474,BS_0002790
8,BS_0002773,BS_0005305
9,BS_0008463,BS_0000479
10,BS_0008166,BS_0001716
11,BS_0007206,BS_0004614
12,BS_0002502,BS_0004316
13,BS_0001615,BS_0003361
15,BS_0005217,BS_0003535
16,BS_0003627,BS_0002452
18,BS_0002410,BS_0006745
19,BS_0000885,BS_0001886
20,BS_0004473,BS_0004709
21,BS_0000175,BS_0009113
25,BS_0004477,BS_0008252
28,BS_0002312,BS_0001306
30,BS_0001444,BS_0004865
31,BS_0002696,BS_0000411
33,BS_0007825,BS_0006223
34,BS_0005394,BS_0003264
36,BS_0000632,BS_0002844
40,BS_0000442,BS_0008166
43,BS_0008953,BS_0002503
45,BS_0005676,BS_0005104
46,BS_0005452,BS_0009190
47,BS_0001117,BS_0002474
49,BS_0006424,BS_0002876
51,BS_0000598,BS_0004506
52,BS_0006671,BS_0000775
53,BS_0002798,BS_0007933
54,BS_0007648,BS_0008313
56,BS_0002049,BS_0003864
57,BS_0002945,BS_0009558
58,BS_0004750,BS_0005719
60,BS_0009029,BS_0008233
61,BS_0002742,BS_0005778
62,BS_0007716,BS_0003970
63,BS_0001088,BS_0008243
64,BS_0001276,BS_0004101
66,BS_0003162,BS_0003379
67,BS_0004176,BS_0006199
68,BS_0009609,BS_0009386
70,BS_0008057,BS_0002408
72,BS_0006872,BS_0008674
73,BS_0006662,BS_0003451
74,BS_0002563,BS_0006167
78,BS_0009137,BS_0002844
79,BS_0003673,BS_0006855
80,BS_0001144,BS_0004853
81,BS_0001648,BS_0005718
82,BS_0006698,BS_0000073
84,BS_0003195,BS_0005243
85,BS_0004783,BS_0006813
86,BS_0002125,BS_0007943
87,BS_0005971,BS_0005604
88,BS_0003163,BS_0008300
91,BS_0003602,BS_0007152
92,BS_0008931,BS_0000332
93,BS_0007042,BS_0000048
94,BS_0001116,BS_0009125
96,BS_0003359,BS_0005251
97,BS_0001533,BS_0003302
98,BS_0007909,BS_0007786
99,BS_0001919,BS_0005004
100,BS_0007050,BS_0000753
101,BS_0001886,BS_0006245
102,BS_0003861,BS_0003679
103,BS_0003368,BS_0006882
104,BS_0002504,BS_0003173
105,BS_0007719,BS_0001166
106,BS_0004453,BS_0005676
110,BS_0003017,BS_0006156
111,BS_0000442,BS_0004151
112,BS_0002504,BS_0003169
113,BS_0006679,BS_0005410
114,BS_0000637,BS_0008336
115,BS_0001807,BS_0006642
116,BS_0005059,BS_0006132
118,BS_0005322,BS_0008049
119,BS_0009287,BS_0005868
120,BS_0005547,BS_0004025
123,BS_0004317,BS_0001886
125,BS_0005743,BS_0004378
129,BS_0007966,BS_0004806
131,BS_0003699,BS_0000779
132,BS_0006077,BS_0000278
133,BS_0002252,BS_0007631
135,BS_0008110,BS_0008336
136,BS_0008910,BS_0009607
137,BS_0000458,BS_0006723
138,BS_0008536,BS_0001535
139,BS_0004748,BS_0004695
140,BS_0000027,BS_0001871
141,BS_0001645,BS_0001369
143,BS_0002170,BS_0002971
144,BS_0008223,BS_0005545
145,BS_0002504,BS_0005059
148,BS_0007018,BS_0002431
149,BS_0007460,BS_0002559
150,BS_0005757,BS_0002474
151,BS_0002312,BS_0002415
152,BS_0008740,BS_0002609
153,BS_0005971,BS_0004702
155,BS_0003791,BS_0009290
157,BS_0008984,BS_0002472
159,BS_0001254,BS_0002013
160,BS_0005622,BS_0008413
161,BS_0007812,BS_0001082
163,BS_0008493,BS_0006738
168,BS_0004768,BS_0008345
171,BS_0003162,BS_0001117
173,BS_0000025,BS_0003235
174,BS_0003017,BS_0008530
