,entry1,entry2
0,BS_0001355,BS_0003040
1,BS_0003541,BS_0007227
4,BS_0004101,BS_0001275
5,BS_0006671,BS_0002194
6,BS_0000035,BS_0000501
7,BS_0002474,BS_0002790
8,BS_0002773,BS_0005305
9,BS_0008463,BS_0000479
10,BS_0008166,BS_0001716
11,BS_0007206,BS_0004614
12,BS_0002502,BS_0004316
13,BS_0001615,BS_0003361
14,BS_0008793,BS_0000726
15,BS_0005217,BS_0003535
16,BS_0003627,BS_0002452
17,BS_0007084,BS_0001777
19,BS_0000885,BS_0001886
23,BS_0003515,BS_0006521
24,BS_0003957,BS_0005594
25,BS_0004477,BS_0008252
26,BS_0004394,BS_0008484
27,BS_0001736,BS_0005104
29,BS_0003906,BS_0008922
31,BS_0002696,BS_0000411
33,BS_0007825,BS_0006223
34,BS_0005394,BS_0003264
37,BS_0007961,BS_0007506
39,BS_0002413,BS_0001740
44,BS_0009080,BS_0002257
45,BS_0005676,BS_0005104
46,BS_0005452,BS_0009190
47,BS_0001117,BS_0002474
48,BS_0006857,BS_0004393
49,BS_0006424,BS_0002876
50,BS_0001625,BS_0000025
51,BS_0000598,BS_0004506
52,BS_0006671,BS_0000775
53,BS_0002798,BS_0007933
54,BS_0007648,BS_0008313
55,BS_0002041,BS_0005062
56,BS_0002049,BS_0003864
57,BS_0002945,BS_0009558
62,BS_0007716,BS_0003970
63,BS_0001088,BS_0008243
64,BS_0001276,BS_0004101
65,BS_0001119,BS_0001625
66,BS_0003162,BS_0003379
68,BS_0009609,BS_0009386
69,BS_0005803,BS_0005842
71,BS_0006857,BS_0009497
72,BS_0006872,BS_0008674
75,BS_0006521,BS_0005838
77,BS_0003589,BS_0008576
79,BS_0003673,BS_0006855
80,BS_0001144,BS_0004853
81,BS_0001648,BS_0005718
82,BS_0006698,BS_0000073
83,BS_0006363,BS_0007824
84,BS_0003195,BS_0005243
86,BS_0002125,BS_0007943
90,BS_0004303,BS_0006055
91,BS_0003602,BS_0007152
93,BS_0007042,BS_0000048
94,BS_0001116,BS_0009125
95,BS_0002328,BS_0007189
97,BS_0001533,BS_0003302
100,BS_0007050,BS_0000753
102,BS_0003861,BS_0003679
103,BS_0003368,BS_0006882
104,BS_0002504,BS_0003173
105,BS_0007719,BS_0001166
106,BS_0004453,BS_0005676
107,BS_0009219,BS_0004381
108,BS_0002400,BS_0002514
109,BS_0008238,BS_0007881
110,BS_0003017,BS_0006156
112,BS_0002504,BS_0003169
113,BS_0006679,BS_0005410
114,BS_0000637,BS_0008336
117,BS_0001737,BS_0007193
120,BS_0005547,BS_0004025
121,BS_0004394,BS_0005850
122,BS_0003756,BS_0001013
123,BS_0004317,BS_0001886
125,BS_0005743,BS_0004378
126,BS_0000484,BS_0006071
127,BS_0004348,BS_0002942
128,BS_0006481,BS_0006943
129,BS_0007966,BS_0004806
130,BS_0005846,BS_0008993
131,BS_0003699,BS_0000779
133,BS_0002252,BS_0007631
134,BS_0005987,BS_0001005
135,BS_0008110,BS_0008336
136,BS_0008910,BS_0009607
137,BS_0000458,BS_0006723
139,BS_0004748,BS_0004695
140,BS_0000027,BS_0001871
142,BS_0002020,BS_0003688
144,BS_0008223,BS_0005545
146,BS_0000261,BS_0000448
147,BS_0009487,BS_0001089
149,BS_0007460,BS_0002559
150,BS_0005757,BS_0002474
152,BS_0008740,BS_0002609
154,BS_0003760,BS_0007611
155,BS_0003791,BS_0009290
156,BS_0003215,BS_0004728
157,BS_0008984,BS_0002472
158,BS_0003995,BS_0005092
159,BS_0001254,BS_0002013
160,BS_0005622,BS_0008413
