,entry1,entry2
0,BS_0001355,BS_0003040
1,BS_0003541,BS_0007227
2,BS_0005004,BS_0002747
5,BS_0006671,BS_0002194
6,BS_0000035,BS_0000501
7,BS_0002474,BS_0002790
8,BS_0002773,BS_0005305
10,BS_0008166,BS_0001716
11,BS_0007206,BS_0004614
12,BS_0002502,BS_0004316
13,BS_0001615,BS_0003361
14,BS_0008793,BS_0000726
15,BS_0005217,BS_0003535
16,BS_0003627,BS_0002452
17,BS_0007084,BS_0001777
19,BS_0000885,BS_0001886
20,BS_0004473,BS_0004709
21,BS_0000175,BS_0009113
23,BS_0003515,BS_0006521
25,BS_0004477,BS_0008252
26,BS_0004394,BS_0008484
27,BS_0001736,BS_0005104
30,BS_0001444,BS_0004865
33,BS_0007825,BS_0006223
36,BS_0000632,BS_0002844
37,BS_0007961,BS_0007506
39,BS_0002413,BS_0001740
40,BS_0000442,BS_0008166
42,BS_0006018,BS_0000780
43,BS_0008953,BS_0002503
44,BS_0009080,BS_0002257
45,BS_0005676,BS_0005104
47,BS_0001117,BS_0002474
48,BS_0006857,BS_0004393
50,BS_0001625,BS_0000025
53,BS_0002798,BS_0007933
54,BS_0007648,BS_0008313
55,BS_0002041,BS_0005062
58,BS_0004750,BS_0005719
59,BS_0005249,BS_0004662
60,BS_0009029,BS_0008233
62,BS_0007716,BS_0003970
63,BS_0001088,BS_0008243
65,BS_0001119,BS_0001625
68,BS_0009609,BS_0009386
71,BS_0006857,BS_0009497
72,BS_0006872,BS_0008674
73,BS_0006662,BS_0003451
74,BS_0002563,BS_0006167
77,BS_0003589,BS_0008576
78,BS_0009137,BS_0002844
79,BS_0003673,BS_0006855
80,BS_0001144,BS_0004853
82,BS_0006698,BS_0000073
86,BS_0002125,BS_0007943
89,BS_0005409,BS_0000648
90,BS_0004303,BS_0006055
91,BS_0003602,BS_0007152
95,BS_0002328,BS_0007189
96,BS_0003359,BS_0005251
97,BS_0001533,BS_0003302
98,BS_0007909,BS_0007786
99,BS_0001919,BS_0005004
100,BS_0007050,BS_0000753
101,BS_0001886,BS_0006245
102,BS_0003861,BS_0003679
103,BS_0003368,BS_0006882
106,BS_0004453,BS_0005676
107,BS_0009219,BS_0004381
108,BS_0002400,BS_0002514
109,BS_0008238,BS_0007881
111,BS_0000442,BS_0004151
112,BS_0002504,BS_0003169
113,BS_0006679,BS_0005410
117,BS_0001737,BS_0007193
120,BS_0005547,BS_0004025
122,BS_0003756,BS_0001013
123,BS_0004317,BS_0001886
124,BS_0005025,BS_0004875
127,BS_0004348,BS_0002942
128,BS_0006481,BS_0006943
130,BS_0005846,BS_0008993
131,BS_0003699,BS_0000779
132,BS_0006077,BS_0000278
133,BS_0002252,BS_0007631
134,BS_0005987,BS_0001005
136,BS_0008910,BS_0009607
137,BS_0000458,BS_0006723
138,BS_0008536,BS_0001535
139,BS_0004748,BS_0004695
141,BS_0001645,BS_0001369
142,BS_0002020,BS_0003688
144,BS_0008223,BS_0005545
147,BS_0009487,BS_0001089
148,BS_0007018,BS_0002431
150,BS_0005757,BS_0002474
154,BS_0003760,BS_0007611
155,BS_0003791,BS_0009290
156,BS_0003215,BS_0004728
157,BS_0008984,BS_0002472
158,BS_0003995,BS_0005092
159,BS_0001254,BS_0002013
161,BS_0007812,BS_0001082
162,BS_0003879,BS_0003446
163,BS_0008493,BS_0006738
164,BS_0003741,BS_0001528
166,BS_0000266,BS_0004253
168,BS_0004768,BS_0008345
169,BS_0001737,BS_0001114
170,BS_0003942,BS_0006812
172,BS_0001113,BS_0004706
173,BS_0000025,BS_0003235
