,entry1,entry2
1,DB00945,DB00996
3,DB00945,DB00213
4,DB00945,DB00492
5,DB00945,DB01212
6,DB00945,DB00398
8,DB00945,DB00775
9,DB00945,DB00697
10,DB00945,DB00853
11,DB00945,DB01413
12,DB00945,DB00440
13,DB00945,DB00181
14,DB00945,DB00519
15,DB00945,DB01195
16,DB00945,DB00250
17,DB00945,DB01004
19,DB00945,DB00268
20,DB00945,DB01193
21,DB00945,DB01204
22,DB00945,DB01248
23,DB00945,DB00555
24,DB00945,DB00862
26,DB00945,DB00195
27,DB00945,DB00204
28,DB00945,DB00542
29,DB00945,DB01197
30,DB00945,DB00953
35,DB00945,DB00243
37,DB00945,DB00571
38,DB00945,DB00530
41,DB00945,DB01026
42,DB00945,DB00275
43,DB00945,DB00681
44,DB00945,DB00968
46,DB00945,DB00455
47,DB00945,DB01009
48,DB00945,DB01042
50,DB00945,DB00710
51,DB00945,DB01224
52,DB00945,DB00346
53,DB00945,DB00601
55,DB00945,DB00540
56,DB00945,DB00218
57,DB00945,DB00559
58,DB00945,DB01275
59,DB00945,DB00975
60,DB00945,DB00248
61,DB00945,DB00472
63,DB00945,DB00413
64,DB00945,DB00410
65,DB00945,DB00244
66,DB00945,DB01233
67,DB00945,DB00295
68,DB00945,DB01223
69,DB00945,DB01137
70,DB00945,DB00642
71,DB00945,DB00999
72,DB00945,DB00439
73,DB00945,DB00577
76,DB00945,DB00586
77,DB00945,DB00580
78,DB00945,DB00798
79,DB00945,DB01337
80,DB00945,DB00426
82,DB00945,DB00993
83,DB00945,DB01327
84,DB00945,DB00335
85,DB00945,DB00967
86,DB00945,DB00363
87,DB00945,DB00531
90,DB00945,DB00343
91,DB00945,DB00757
92,DB00945,DB01162
94,DB00945,DB00200
95,DB00945,DB00350
96,DB00945,DB00661
97,DB00945,DB00630
98,DB00945,DB01124
99,DB00945,DB00787
100,DB00945,DB00512
101,DB00945,DB00422
102,DB00945,DB01140
103,DB00945,DB00598
104,DB00945,DB00673
105,DB00945,DB00222
106,DB00945,DB06700
107,DB00945,DB00612
108,DB00945,DB01032
109,DB00945,DB00700
113,DB00945,DB00231
114,DB00945,DB00373
116,DB00945,DB00585
117,DB00945,DB00563
118,DB00945,DB01036
119,DB00945,DB01048
120,DB00945,DB01416
121,DB00945,DB01203
122,DB00945,DB00211
123,DB00945,DB01291
125,DB00945,DB01076
126,DB00945,DB00361
129,DB00945,DB00808
130,DB00945,DB00590
131,DB00945,DB00203
132,DB00945,DB00252
133,DB00945,DB00338
134,DB00945,DB00921
135,DB00945,DB00802
136,DB00945,DB00627
137,DB00945,DB00969
139,DB00945,DB00280
140,DB00945,DB00927
141,DB00945,DB01059
142,DB00945,DB00962
144,DB00945,DB00698
145,DB00945,DB01129
146,DB00945,DB00327
147,DB00945,DB00724
148,DB00945,DB00674
149,DB00945,DB00820
150,DB00945,DB01182
151,DB00945,DB00285
152,DB00945,DB00762
153,DB00945,DB00583
154,DB00945,DB01273
156,DB00945,DB00654
157,DB00945,DB00916
158,DB00945,DB00537
159,DB00945,DB00833
160,DB00945,DB01149
162,DB00945,DB00658
163,DB00945,DB00829
164,DB00945,DB00533
165,DB00945,DB00198
166,DB00945,DB00883
167,DB00945,DB01077
168,DB00945,DB00193
169,DB00945,DB01156
170,DB00945,DB00818
172,DB00945,DB00884
173,DB00945,DB00841
175,DB00945,DB00889
176,DB00945,DB00842
177,DB00945,DB00851
180,DB00945,DB00819
181,DB00945,DB00230
182,DB00945,DB00208
183,DB00945,DB00497
185,DB00945,DB00991
187,DB00945,DB01085
188,DB00945,DB00489
189,DB00945,DB01083
191,DB00945,DB00493
193,DB00945,DB00445
195,DB00945,DB00564
196,DB00945,DB01217
197,DB00945,DB00115
199,DB00945,DB00763
200,DB00945,DB00209
202,DB00945,DB01050
203,DB00945,DB00277
205,DB00945,DB00465
206,DB00945,DB00625
208,DB00945,DB00906
210,DB00945,DB00712
211,DB00945,DB00960
212,DB00945,DB01215
213,DB00945,DB01167
216,DB00945,DB00402
217,DB00945,DB01118
218,DB00945,DB00784
219,DB00945,DB00683
221,DB00945,DB00425
222,DB00945,DB01128
223,DB00945,DB01202
224,DB00945,DB00869
225,DB00945,DB01186
226,DB00945,DB00278
227,DB00945,DB00745
228,DB00945,DB00303
229,DB00945,DB00355
230,DB00945,DB01020
231,DB00945,DB00947
232,DB00945,DB00545
234,DB00945,DB00951
235,DB00945,DB00377
236,DB00945,DB01229
237,DB00945,DB00297
238,DB00945,DB01045
240,DB00945,DB00284
241,DB00945,DB00199
242,DB00945,DB00619
245,DB00945,DB00330
246,DB00945,DB01211
247,DB00945,DB00315
249,DB00945,DB01610
252,DB00945,DB00790
253,DB00945,DB00379
254,DB00945,DB00690
255,DB00945,DB00214
256,DB00945,DB00480
257,DB00945,DB01005
258,DB00945,DB00207
259,DB00945,DB00909
260,DB00945,DB00773
261,DB00945,DB00535
262,DB00945,DB00900
263,DB00945,DB00734
264,DB00945,DB00806
265,DB00945,DB01173
266,DB00945,DB00544
267,DB00945,DB00461
268,DB00945,DB00279
269,DB00945,DB00238
270,DB00945,DB00313
271,DB00945,DB00541
272,DB00945,DB00887
273,DB00945,DB01095
274,DB00945,DB01112
275,DB00945,DB01136
277,DB00945,DB00310
278,DB00945,DB01143
279,DB00945,DB00438
280,DB00945,DB01044
281,DB00945,DB01595
282,DB00945,DB00983
283,DB00945,DB01150
285,DB00945,DB00549
286,DB00945,DB00484
287,DB00945,DB00376
288,DB00945,DB00482
289,DB00945,DB00481
290,DB00945,DB01079
291,DB00945,DB00567
292,DB00945,DB00333
293,DB00945,DB00749
295,DB00945,DB01062
296,DB00945,DB00669
298,DB00945,DB01241
299,DB00945,DB00881
300,DB00945,DB00186
301,DB00945,DB00184
302,DB00945,DB00490
304,DB00945,DB00843
305,DB00945,DB00524
307,DB00945,DB00460
309,DB00945,DB00334
310,DB00945,DB00912
312,DB00945,DB00175
313,DB00945,DB00374
314,DB00945,DB00973
315,DB00945,DB00395
316,DB00945,DB01110
317,DB00945,DB00494
318,DB00945,DB00503
319,DB00945,DB00475
